Position,Cost Per Hire,Company Stage,Company Location,Notable Investor(s),Recruiter Name
"Senior Software Engineer, Networking",$1.0K,Series A,"San Francisco, CA","Bling Capital, Webb Investment Network",View Recruiter
Clinical Psychologist,$1.1K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
Senior/Lead Firmware Engineer,$1.4K,Series A,"San Francisco, CA","Bling Capital, Webb Investment Network",View Recruiter
Clinical Psychologist,$1.1K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
Business Operations Manager,$2.7K,Series A,"Ponte Vedra, FL",Bootstrap,View Recruiter
Business Development Lead,$6.9K,Seed,"San Francisco, CA",Bessemer Venture Partners,View Recruiter
Founding Principal Software Engineer,$15.4K,Seed,"Los Angeles, CA",Cove Fund,View Recruiter
"Product Manager, Core",$3.9K,Series A,"San Francisco, CA","Bling Capital, Webb Investment Network",View Recruiter
Business Operations Manager,$2.7K,Series A,"Ponte Vedra, FL",Bootstrap,View Recruiter
Founding Product Manager,$2.0K,Series A,"Ponte Vedra, FL",Bootstrap,View Recruiter
Mental Health Therapist,$0.6K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
Solutions Engineering Lead,$13.9K,Series A,"Boston, MA",TDK Ventures,View Recruiter
Somethings Mentor,$1.7K,Series A,"New York, NY","Catalio Capital, General Catalyst, Tusk Ventures",View Recruiter
Mental Health Therapist,$0.6K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
Senior Backend Engineer,$3.6K,Seed,"Austin, TX",HOLT Ventures,View Recruiter
Staff/Sr. Infrastructure Engineer,$20.3K,Seed,"San Francisco, CA",Gradient,View Recruiter
Founding Product Manager,$2.0K,Series A,"Ponte Vedra, FL",Bootstrap,View Recruiter
Founding Senior Software Engineer,$12.9K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Growth Manager,$9.0K,Series A,Remote,Y Combinator,View Recruiter
Senior Product Marketing Manager,$3.7K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Senior People & Talent Lead,$7.7K,Series A,Remote,General Catalyst,View Recruiter
Account Executive,$3.8K,Series A,"San Francisco, CA",Lightspeed Venture Partners,View Recruiter
Mental Health Therapist,$0.6K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
EHR Applications Analyst - Epic,$7.5K,Seed,"San Francisco, CA","Y Combinator, Rock Health",View Recruiter
Software Engineer - Frontend,$2.2K,Series A,"New York, NY",Insight Partners,View Recruiter
Lead Data Platform Engineer,$58.5K,Seed Stage,"San Francisco, CA",N/A,View Recruiter
Mission Operations Manager,$0.2K,Series A,"San Francisco, CA","Bling Capital, Webb Investment Network",View Recruiter
Mental Health Therapist,$0.6K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
AI Engineer,$3.2K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Sales Engineer,$0.2K,Series A,"San Francisco, CA","Bling Capital, Webb Investment Network",View Recruiter
Customer Support Lead,$5.8K,Series A,"New York, NY",Insight Partners,View Recruiter
Founding Engineer (Applied AI),$9.3K,Seed,"San Francisco, CA","Y Combinator, Orange Collective",View Recruiter
Founding Principal Software Engineer,$15.4K,Seed,"Los Angeles, CA",Cove Fund,View Recruiter
Full-Stack Product Engineer,$4.6K,Seed,"San Francisco, CA","Basis Set Ventures, Base10 Partners, Bloomberg Beta",View Recruiter
"Software Engineer, Fullstack (San Francisco)",$4.0K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Somethings Mentor,$1.7K,Series A,"New York, NY","Catalio Capital, General Catalyst, Tusk Ventures",View Recruiter
Mental Health Therapist,$0.6K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
Mental Health Therapist,$0.6K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
Executive Assistant,$7.5K,Seed,"San Francisco, CA","a16z, NEA, Prime Movers Lab",View Recruiter
GTM Account Executive - Multiple levels,$6.3K,Series A,"Dallas, TX","Village Global, Mantis Venture Capital, Origin Ventures",View Recruiter
Mental Health Therapist,$1.4K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
"Software Engineer, Fullstack (San Francisco)",$3.7K,Series B,"New York, NY","Index Ventures, Founders Fund",View Recruiter
Partner GTM Lead,$3.9K,Series A,"San Francisco, CA","Greycroft, Altos Ventures, Forum Ventures, SemperVirens Venture Capital, Better Tomorrow Ventures",View Recruiter
Customer Success Manager (US),$3.3K,Series A,"San Francisco, CA",Lightspeed Venture Partners,View Recruiter
Product Marketing Manager,$5.5K,Series A,Remote,Y Combinator,View Recruiter
VP of Engineering,$7.6K,Series A,"Ponte Vedra, FL",Bootstrapped,View Recruiter
Account Executive (Denver),$1.3K,Series A,"New York, NY",Insight Partners,View Recruiter
Clinical Psychologist,$1.7K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
Customer Success Manager (US),$3.3K,Series A,"San Francisco, CA",Lightspeed Venture Partners,View Recruiter
Mental Health Therapist,$1.4K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
Somethings Mentor (OLD VERSION),$1.7K,Series A,"New York, NY","Catalio Capital, General Catalyst, Tusk Ventures",View Recruiter
EHR Applications Analyst - Epic,$2.5K,Seed,"San Francisco, CA","Y Combinator, Rock Health",View Recruiter
Lead Software Engineer,$10.8K,Bootstrapped,Remote,Bootstrapped,View Recruiter
Clinical Psychologist,$1.7K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
AI-Native Data Engineer,$3.1K,Seed,"San Francisco, CA","Pear VC, Ulu Ventures",View Recruiter
Head of XPLR Club (SVOD & OTT),$1.4K,Pre-Seed,"Los Angeles, CA",Bootstrapped,View Recruiter
Clinical Psychologist,$1.7K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
GTM Account Executive - Multiple levels,$6.3K,Series A,"Dallas, TX","Village Global, Mantis Venture Capital, Origin Ventures",View Recruiter
Sales Solutions Engineer,$4.6K,Series A,"Austin, TX",Karman Ventures,View Recruiter
Senior Product Marketing Manager,$1.8K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Staff Software Engineer,$13.2K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Executive Assistant to CEO and CTO,$0.8K,Series A,"San Francisco, CA","Bling Capital, Webb Investment Network",View Recruiter
Founding Senior Software Engineer,$10.1K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Strategic Customer Success Manager (Denver),$4.0K,Series A,"New York, NY",Insight Partners,View Recruiter
Full-Stack Software Engineer,$5.8K,Series A,"Washington, DC","Village Global, Mantis Venture Capital, Origin Ventures, BDMI, One Way Ventures",View Recruiter
Mental Health Therapist,$1.4K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
(Remote) Mid-Level Software Engineer,$4.6K,Series A,"Atlanta, GA",Y Combinator,View Recruiter
Process Engineer - Ceramics & Photopolymers,$7.1K,Seed,"Boston, MA",Lavrock Ventures,View Recruiter
Mental Health Therapist,$1.4K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
Director of Demand Generation & Digital Marketing,$7.4K,Seed,"San Francisco, CA",Y Combinator,View Recruiter
Industrial X-ray CT Technician,$8.0K,Series A,"Boston, MA",TDK Ventures,View Recruiter
Product Manager - Unmanned Systems,$1.9K,Series A,"San Francisco, CA","Bling Capital, Webb Investment Network",View Recruiter
Senior Android Engineer,$5.4K,Series A,"San Francisco, CA","Bling Capital, Webb Investment Network",View Recruiter
EHR Applications Analyst - Epic,$2.5K,Seed,"San Francisco, CA","Y Combinator, Rock Health",View Recruiter
Somethings Mentor,$1.8K,Series A,"New York, NY","Catalio Capital, General Catalyst, Tusk Ventures",View Recruiter
Senior Frontend Engineer,$3.3K,Seed,"Austin, TX",HOLT Ventures,View Recruiter
Head of CX- Billing placeholder,$26.0K,Series B,Remote,Blueprint Equity,View Recruiter
Senior Backend Engineer,$2.9K,Seed,"Austin, TX",HOLT Ventures,View Recruiter
Founding Growth Lead,$9.1K,Seed,"San Francisco, CA",Tribe Capital,View Recruiter
Mental Health Therapist,$1.4K,Series A,"New York, NY","Greycroft, Thrive Capital, Union Square Ventures, FirstMark Capital, Tiger Global Management",View Recruiter
Somethings Mentor,$1.8K,Series A,"New York, NY","Catalio Capital, General Catalyst, Tusk Ventures",View Recruiter
